id,nome,categoria,tom_pele,marca,preco,descricao,imagem
1,Base Matte Longa Duração,base,clara,Maybelline,49.9,Base matte com alta fixação,https://m.media-amazon.com/images/I/61FwcbVUyFL._AC_SY300_SX300_QL70_ML2_.jpg
2,Batom Líquido Ultra Fixação,batom,media,Bruna Tavares,39.9,Batom líquido matte de longa duração,https://m.media-amazon.com/images/I/41VhaBGmWSL._AC_UL320_.jpg
3,Corretivo Alta Cobertura,corretivo,clara,Quem Disse Berenice,35.0,Corretivo líquido com efeito natural,https://m.media-amazon.com/images/I/51D7BUaQFUL._AC_UL320_.jpg
4,Blush Rosa Glow,blush,todos,Ruby Rose,27.5,Blush compacto com brilho suave,https://cdn.awsli.com.br/800x800/2752/2752602/produto/356156317/653066-0-kwhr0anh4n.jpg
5,Máscara de Cílios Volume Max,mascara,todos,Maybelline,59.9,Máscara preta para volume intenso,https://m.media-amazon.com/images/I/51W3Iop8+OL._AC_SX522_.jpg
6,Pó Compacto Anti-Oleosidade,po,media,Vult,24.9,Pó compacto para controle de brilho,https://m.media-amazon.com/images/I/612PrZLyMuL._AC_UL320_.jpg
7,Iluminador stick shine,iluminador,todos,Vizella,32.0,Iluminador dourado intenso,https://m.media-amazon.com/images/I/41p8LOU8g2L._AC_UL320_.jpg
8,Paleta Sombras Honey Bomb,sombra,todos,Luisance,49.0,Paleta com tons cintilantes,https://m.media-amazon.com/images/I/613RKUL1rwL._AC_UL320_.jpg
9,Gloss Labial Brilho Cristal,gloss,todos,O Boticário,29.9,Gloss hidratante transparente,https://http2.mlstatic.com/D_Q_NP_899521-MLU69502726320_052023-O.webp
10,Primer Facial HD,primer,todos,Ruby Rose,34.9,Primer para minimizar poros,https://m.media-amazon.com/images/I/41ZQI0KbcEL._AC_UL320_.jpg
11,Base Líquida Natural Look,base,media,Vult,42.5,Base de acabamento natural,https://m.media-amazon.com/images/I/51RusYl8P+L._AC_UL320_.jpg
12,Batom Cremoso Nude Chic,batom,todos,Eudora,36.9,Batom cremoso hidratante,https://m.media-amazon.com/images/I/51eMyCx6g5L._AC_UL320_.jpg
13,Corretivo Ruby Kisses Eye,corretivo,escura,Ruby Rose,18.9,Corretivo matte de alta fixação,https://m.media-amazon.com/images/I/416QOvWnbpL._AC_UL320_.jpg
14,Blush Stick Pêssego,blush,todos,Dailus,22.0,Blush com tom pêssego natural,https://m.media-amazon.com/images/I/31atHgObDrL._AC_UL320_.jpg
15,Máscara Curvadora Curl Up,mascara,todos,Vult,33.9,Máscara para curvar cílios,https://m.media-amazon.com/images/I/51mEFw4HCtL._AC_UL320_.jpg
16,Pó Translúcido HD,po,todos,Bruna Tavares,45.9,Pó solto para acabamento perfeito,https://m.media-amazon.com/images/I/5116ybptyWL._AC_UL320_.jpg
17,Iluminador Diamond Light,iluminador,todos,Dalla Makeup,28.9,Iluminador super brilhante,https://m.media-amazon.com/images/I/51e0v7B-YuL._AC_UL320_.jpg
18,Paleta Sombras Colors Pop,sombra,todos,Ruby Rose,35.0,Paleta colorida vibrante,https://images.tcdn.com.br/img/img_prod/1075333/paleta_de_sombras_colourpop_by_the_rose_265_1_505f75082536601692eb4fb1f02a06bf.jpeg
19,Gloss Lip Oil Hidratante,gloss,todos,Bruna Tavares,31.9,Gloss nutritivo com brilho suave,https://m.media-amazon.com/images/I/41cjFIf2j8L._AC_UL320_.jpg
20,Primer Hidratante Glow,primer,todos,Nivea,37.9,Primer com efeito iluminado,https://m.media-amazon.com/images/I/71YcdqCqkPL._AC_UL320_.jpg
21,Base Full Coverage,base,escura,Maybelline,29.9,Base de alta cobertura,https://m.media-amazon.com/images/I/61FwcbVUyFL._AC_UL320_.jpg
22,Batom Vermelho Intenso,batom,todos,MAC,89.9,Batom clássico vermelho,https://m.media-amazon.com/images/I/610RS+gnPrL._AC_SX679_.jpg
23,Corretivo Líquido nano HD,corretivo,media,Vult,27.5,Corretivo leve e natural,https://m.media-amazon.com/images/I/41Phe-4qVhL._AC_SX522_.jpg
24,Blush Stick Terracota,blush,todos,Ruby Rose,39.9,Blush matte elegante,https://m.media-amazon.com/images/I/61pKZYgOs8L._AC_UL320_.jpg
25,Máscara Super Alongadora,mascara,todos,O Boticário,54.9,Alongamento máximo,https://m.media-amazon.com/images/I/41WTi6hVKJL._AC_SY300_SX300_QL70_ML2_.jpg
26,Pó Compacto Ultra Matte,po,clara,Ruby Rose,19.9,Pó matte resistente à oleosidade,https://m.media-amazon.com/images/I/61+IZNvArPL._AC_UL320_.jpg
27,Iluminador Harry Potter,iluminador,todos,Quem Disse Berenice,49.9,Iluminador rosado delicado,https://m.media-amazon.com/images/I/71kNQTyOiEL._AC_UL320_.jpg
28,Paleta Sombras Glam Night,sombra,todos,Eudora,69.9,Tons escuros para noite,https://m.media-amazon.com/images/I/71qvZ1bpRXL._AC_UL320_.jpg
29,Gloss LipGlass,gloss,todos,MAC,95.0,Gloss rosa espelhado,https://sdcdn.io/mac/br/mac_sku_S3HT1M_1x1_0.png?width=1080&height=1080
30,Primer Oil Control,primer,todos,Maybelline,44.9,Primer anti-oleosidade,https://www.maybelline.com/-/media/project/loreal/brand-sites/mny/americas/us/face-makeup/primer/fit-me-matte-poreless-primer/maybellinefacefitmemattifyingprimer0matteporeless041554584431av11new01760x1130badge.jpg?rev=2856281fab11427aac6116d5773dea11
31,Base Serum Natural Glow,base,todos,O Boticário,62.9,Base leve e luminosa,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT4Ov-4mwsvUiwU01qGPH1EqCLufeuJSBrnEmeF_coHf62q3R0awqNv6aWVOUUKsU0Yv6gXb_VBnKWTuCgq3OTMlm35kIt_XNhMM3s4bnNkeat-PO5eIqEp_-YNO3J_nMF22WGwxN4&usqp=CAc
32,Batom Líquido Vinil Shine,batom,todos,Bruna Tavares,24.9,Batom brilho vinil,https://m.media-amazon.com/images/I/51C8duJpOeL._AC_UL320_.jpg
33,Corretivo Camuflagem Pro,corretivo,clara,MAC,129.9,Corretivo profissional,https://sdcdn.io/mac/br/mac_sku_MGT915_1x1_0.png?width=1080&height=1080
34,Blush Líquido Soft Touch,blush,todos,Dalla Makeup,21.0,Blush líquido fácil de aplicar,https://http2.mlstatic.com/D_NQ_NP_702194-MLU75751392674_042024-O.webp
35,Máscara Ultra Black Power,mascara,todos,Luisance,22.0,Máscara super preta,https://m.media-amazon.com/images/I/418kPaj3LJL._AC_SX522_.jpg
36,Pó Solto Banana Powder,po,todos,Adversa,25.9,Pó amarelado para selar maquiagem,https://m.media-amazon.com/images/I/71nWHPqpPwL._AC_UL320_.jpg
37,Iluminador Holográfico Aurora,iluminador,todos,Luisance,33.5,Efeito holográfico único,https://m.media-amazon.com/images/I/81XdIdL8NGS._AC_UL320_.jpg
38,Paleta Sombras Nude Rose,sombra,todos,Anastasia Beverly Hills,199.9,Tons rosados luxuosos,https://http2.mlstatic.com/D_NQ_NP_2X_830851-MLU74178617139_012024-F.webp
39,Gloss Metalizado Silver Kiss,gloss,todos,Dalla Makeup,19.9,Gloss prateado metálico,https://m.media-amazon.com/images/I/11VamCKascL._AC_.jpg
40,Primer Blur Instantâneo,primer,todos,Luisance,27.9,Efeito blur imediato,https://m.media-amazon.com/images/I/51jwnMLsmzL._AC_UL320_.jpg